product_id,name,category,price,description,rating,combined_text
2746,"điện thoại Oppo Neo 7 A33 Chính hãng ram 2G/16G 2sim, chiến PUBG/Free Fire, Tiktok FB Zalo Youtube ngon",Khác,0,,0,"điện thoại Oppo Neo 7 A33 Chính hãng ram 2G/16G 2sim, chiến PUBG/Free Fire, Tiktok FB Zalo Youtube ngon Khác "
2747,"[Giá Sốc] điện thoại Xiaomi Mi8 Lite 2 sim ram 4G bộ nhớ 64G mới Chính hãng, có Sẵn Tiếng Việt, Chiến Game mượt",Khác,0,,0,"[Giá Sốc] điện thoại Xiaomi Mi8 Lite 2 sim ram 4G bộ nhớ 64G mới Chính hãng, có Sẵn Tiếng Việt, Chiến Game mượt Khác "
2748,"điện thoại Xiaomi Redmi 6a 2sim ram 3G rom 32G mới Chính hãng, Có sẵn Tiếng Việt",Khác,0,,0,"điện thoại Xiaomi Redmi 6a 2sim ram 3G rom 32G mới Chính hãng, Có sẵn Tiếng Việt Khác "
2749,điện thoại Oppo F1s Fullbox Chính Hãng mới,Khác,0,,0,điện thoại Oppo F1s Fullbox Chính Hãng mới Khác 
2750,"điện thoại Xiaomi Redmi 3 2sim ram 2G/32G mới Chính hãng, pin 4000mah, có Tiếng Việt",Khác,0,,0,"điện thoại Xiaomi Redmi 3 2sim ram 2G/32G mới Chính hãng, pin 4000mah, có Tiếng Việt Khác "
2751,"Điện thoại Xiaomi redmi 4x 2sim 32G pin 4100mah, Chính hãng, có Tiếng Việt",Khác,0,,0,"Điện thoại Xiaomi redmi 4x 2sim 32G pin 4100mah, Chính hãng, có Tiếng Việt Khác "
2752,điện thoại HTC 10 EVO Chính Hãng ram 3G/32G mới Zin,Khác,0,,0,điện thoại HTC 10 EVO Chính Hãng ram 3G/32G mới Zin Khác 
2753,"điện thoại Xiaomi Redmi Note 2 2sim Ram 2G/16G mới Chính hãng, chơi game mượt",Khác,0,,0,"điện thoại Xiaomi Redmi Note 2 2sim Ram 2G/16G mới Chính hãng, chơi game mượt Khác "
2754,điện thoại Oppo F1s Fullbox (ốp lưng) 2sim ram 3G/32G mới Fullbox,Khác,0,,0,điện thoại Oppo F1s Fullbox (ốp lưng) 2sim ram 3G/32G mới Fullbox Khác 
2755,"điện thoại Oppo F9 Pro 2sim ram 6G/64G mới CHÍNH HÃNG, Chơi Game siêu mượt",Khác,0,,0,"điện thoại Oppo F9 Pro 2sim ram 6G/64G mới CHÍNH HÃNG, Chơi Game siêu mượt Khác "
