antecedents_str,consequents_str,support,confidence,lift
"sản_phẩm, đáng","kém, tiền",0.010040485829959514,0.8378378378378378,53.89217342342342
"kém, tiền","sản_phẩm, đáng",0.010040485829959514,0.6458333333333333,53.892173423423415
"kém, đáng","sản_phẩm, tiền",0.010040485829959514,0.8051948051948052,50.73548900079513
"sản_phẩm, tiền","kém, đáng",0.010040485829959514,0.6326530612244898,50.73548900079513
"chất_lượng, hóa","hàng, kém",0.010526315789473684,0.5963302752293578,36.10136715236553
"hàng, kém","chất_lượng, hóa",0.010526315789473684,0.6372549019607843,36.10136715236553
"hóa, kém","chất_lượng, hàng",0.010526315789473684,0.6074766355140188,34.41438737889052
"chất_lượng, hàng","hóa, kém",0.010526315789473684,0.5963302752293578,34.41438737889051
phục_vụ,"cửa_hàng, kém",0.014251012145748988,0.624113475177305,33.223281976033256
"cửa_hàng, kém",phục_vụ,0.014251012145748988,0.7586206896551724,33.223281976033256
"kém, sản_phẩm, tiền",đáng,0.010040485829959514,0.8493150684931506,31.593497276778344
"hàng, sản_phẩm","chất_lượng, hóa",0.01117408906882591,0.5519999999999999,31.271559633027522
"chất_lượng, hóa","hàng, sản_phẩm",0.01117408906882591,0.6330275229357798,31.271559633027522
"hóa, sản_phẩm","chất_lượng, hàng",0.01117408906882591,0.5390625,30.538632454128443
"chất_lượng, hàng","hóa, sản_phẩm",0.01117408906882591,0.6330275229357798,30.53863245412844
"kém, tiền",đáng,0.012307692307692308,0.7916666666666666,29.449046184738954
"sản_phẩm, tiền",đáng,0.01117408906882591,0.7040816326530611,26.190988443570195
"chất_lượng, tiền",đáng,0.010364372469635627,0.6736842105263158,25.06024096385542
may,đường,0.014736842105263158,0.5112359550561798,21.330283935621015
đường,may,0.014736842105263158,0.6148648648648648,21.33028393562101
"kém, sản_phẩm, đáng",tiền,0.010040485829959514,1.0,19.11764705882353
"kém, đáng",tiền,0.012307692307692308,0.987012987012987,18.86936592818946
"chất_lượng, đáng",tiền,0.010364372469635627,0.9696969696969697,18.538324420677363
"sản_phẩm, đáng",tiền,0.01117408906882591,0.9324324324324323,17.82591414944356
đáng,tiền,0.02234817813765182,0.8313253012048192,15.892983699503898
"chậm, hàng","giao, hóa",0.013765182186234818,0.9883720930232558,14.635965646087781
"hàng, thời_gian","giao, hóa",0.017165991902834007,0.9636363636363636,14.269675168955745
"chất_lượng, tiền","kém, sản_phẩm",0.010850202429149797,0.7052631578947368,13.869426751592357
"chậm, hóa","giao, hàng",0.013765182186234818,0.9883720930232558,13.623209094684386
thời_gian,"giao, hàng, hóa",0.017165991902834007,0.8833333333333333,13.434934318555008
"hóa, thời_gian","giao, hàng",0.017165991902834007,0.9636363636363636,13.28226461038961
thời_gian,"giao, hóa",0.017165991902834007,0.8833333333333333,13.080535571542766
"sản_phẩm, tiền","chất_lượng, kém",0.010850202429149797,0.6836734693877551,13.029887881078357
chậm,"giao, hàng, hóa",0.013765182186234818,0.825242718446602,12.551413267014206
"chất_lượng, đáng",kém,0.010040485829959514,0.9393939393939394,12.394781144781145
thời_gian,"giao, hàng",0.017327935222672064,0.8916666666666666,12.290271577380953
chậm,"giao, hóa",0.013765182186234818,0.825242718446602,12.220320830714071
"sản_phẩm, tiền, đáng",kém,0.010040485829959514,0.8985507246376813,11.855877616747183
chậm,"giao, hàng",0.013765182186234818,0.825242718446602,11.374718273231625
"chất_lượng, sản_phẩm, tiền",kém,0.010850202429149797,0.8589743589743589,11.333689458689458
"kém, tiền","chất_lượng, sản_phẩm",0.010850202429149797,0.6979166666666666,11.252311792863358
"sản_phẩm, đáng",kém,0.010040485829959514,0.8378378378378378,11.054804804804803
"kém, sản_phẩm, tiền",chất_lượng,0.010850202429149797,0.9178082191780821,10.514778763311051
"chất_lượng, tiền",kém,0.012145748987854251,0.7894736842105263,10.416666666666666
"sản_phẩm, tiền",kém,0.011821862348178138,0.7448979591836735,9.828514739229025
"kém, sản_phẩm",chất_lượng,0.04323886639676113,0.8503184713375797,9.741589166065964
"kém, đáng",chất_lượng,0.010040485829959514,0.8051948051948052,9.224634363780932
"cửa_hàng, phục_vụ",kém,0.014251012145748988,0.6984126984126984,9.215167548500881
kém,"chất_lượng, sản_phẩm",0.04323886639676113,0.5705128205128205,9.198215839860747
"chất_lượng, sản_phẩm",kém,0.04323886639676113,0.6971279373368146,9.198215839860747
"sản_phẩm, tiền",chất_lượng,0.01263157894736842,0.7959183673469388,9.11835977433645
"kém, tiền",chất_lượng,0.012145748987854251,0.78125,8.950313079777366
phục_vụ,kém,0.015384615384615385,0.6737588652482269,8.88987391646966
"hàng, sản_phẩm","giao, hóa",0.011659919028340082,0.5760000000000001,8.5294964028777
"chất_lượng, hóa",kém,0.010850202429149797,0.6146788990825688,8.110346585117226
"chất_lượng, hàng, hóa",kém,0.010526315789473684,0.6132075471698113,8.090932914046121
chất_lượng,kém,0.05246963562753036,0.601113172541744,7.9313543599257885
kém,chất_lượng,0.05246963562753036,0.6923076923076922,7.931354359925788
"chất_lượng, hàng",kém,0.010526315789473684,0.5963302752293578,7.868246687054025
"hóa, sản_phẩm","giao, hàng",0.011659919028340082,0.5625,7.753208705357143
"kém, đóng_gói",sản_phẩm,0.012793522267206477,0.9404761904761904,7.55193820050777
"sản_phẩm, đóng_gói",kém,0.012793522267206477,0.5602836879432623,7.392631993695822
"hàng, hóa, kém",chất_lượng,0.010526315789473684,0.6372549019607843,7.300647531739968
"hàng, kém",chất_lượng,0.010526315789473684,0.6372549019607843,7.300647531739968
"tiền, đáng",kém,0.012307692307692308,0.5507246376811594,7.266505636070853
"hóa, kém",chất_lượng,0.010850202429149797,0.6261682242990654,7.173634109548662
"chất_lượng, kém, tiền",sản_phẩm,0.010850202429149797,0.8933333333333333,7.173385348938014
"chậm, hàng, hóa",giao,0.013765182186234818,0.9883720930232558,7.138242894056847
"chậm, hàng",giao,0.013765182186234818,0.9883720930232558,7.138242894056847
"chậm, hóa",giao,0.013765182186234818,0.9883720930232558,7.138242894056847
"hàng, thời_gian",giao,0.017327935222672064,0.9727272727272728,7.025252525252525
"hàng, hóa, thời_gian",giao,0.017165991902834007,0.9724770642201835,7.023445463812436
"hóa, thời_gian",giao,0.017165991902834007,0.9636363636363636,6.959595959595959
"chất_lượng, cửa_hàng",sản_phẩm,0.012145748987854251,0.8333333333333334,6.691590810576506
"chất_lượng, kém",sản_phẩm,0.04323886639676113,0.8240740740740741,6.617239801570101
trắng,màu,0.011497975708502025,0.6513761467889909,6.615538990825689
"kém, phục_vụ",cửa_hàng,0.014251012145748988,0.9263157894736842,6.61271676300578
"chất_lượng, tiền",sản_phẩm,0.01263157894736842,0.8210526315789473,6.592977893368009
thời_gian,giao,0.017651821862348177,0.9083333333333332,6.560185185185184
